City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
447,Wentzville,US,71.94,clear sky,38.8114,-90.8529,Fairfield Inn & Suites by Marriott St. Louis West/Wentzville
448,Nanzhang,CN,74.77,light rain,31.7765,111.8386,Longmenkezhan
453,Gombong,ID,76.98,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
454,Poladpur,IN,74.25,broken clouds,17.9802,73.466,Balaji Resort
457,Musoma,TZ,72.5,broken clouds,-1.5,33.8,New Peninsula Hotel
458,Pasni,PK,79.72,clear sky,25.2631,63.471,Kashmiri Hotal
461,Sungairaya,ID,79.0,overcast clouds,0.7,108.9,Mess P.Milu
466,Pundaguitan,PH,81.81,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
467,Menongue,AO,76.62,scattered clouds,-14.6585,17.691,Ritz Lauca
468,Auki,SB,76.05,broken clouds,-8.7676,160.7034,Auki Motel
470,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
471,Makakilo City,US,77.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
472,Sironj,IN,78.3,broken clouds,24.1,77.7,shri shyam palace sironj
474,Viransehir,TR,76.96,broken clouds,37.2353,39.7631,Viranşehir Öğretmenevi
475,Oswego,US,71.22,light rain,43.4501,-76.1497,S & E Mobile Home Park
477,Morgan City,US,77.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
479,The Valley,AI,83.03,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
480,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
